defined_class	id
http://purl.obolibrary.org/obo/UPHENO_0000197	http://purl.obolibrary.org/obo/GO_0007620-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000198	http://purl.obolibrary.org/obo/GO_0048285-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000199	http://purl.obolibrary.org/obo/BSPO_0000068-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000200	http://purl.obolibrary.org/obo/BSPO_0000069-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000201	http://purl.obolibrary.org/obo/GO_0051301-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000202	http://purl.obolibrary.org/obo/GO_0099643-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000203	http://purl.obolibrary.org/obo/BSPO_0000067-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000204	http://purl.obolibrary.org/obo/BSPO_0000064-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000205	http://purl.obolibrary.org/obo/GO_0018990-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000206	http://purl.obolibrary.org/obo/GO_0001708-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000207	http://purl.obolibrary.org/obo/GO_0018991-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000208	http://purl.obolibrary.org/obo/BSPO_0000063-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000209	http://purl.obolibrary.org/obo/GO_1901360-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000210	http://purl.obolibrary.org/obo/BSPO_0000071-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000211	http://purl.obolibrary.org/obo/GO_0002064-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000212	http://purl.obolibrary.org/obo/BSPO_0000072-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000213	http://purl.obolibrary.org/obo/GO_0005575-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000214	http://purl.obolibrary.org/obo/GO_0007631-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000215	http://purl.obolibrary.org/obo/BSPO_0000070-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000216	http://purl.obolibrary.org/obo/GO_0007635-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000217	http://purl.obolibrary.org/obo/BSPO_0000079-abnormal.tsv
